FQ,lab1,lab2,non1,non2
Q9Z1Z2,36403,30212.52124,33656.17969,30243.65432
P59999,71496,72398.8666,66633.47636,66852.19588
Q9CZ13,230610,210597.2179,212212.8392,203831.2508
A0A1Y7VJ48,21854,19339.39054,20098.06479,18957.20242
Q80YA7,23984,23680.04116,22990.81011,21665.49848
Q99LX0,153230,139746.6495,141562.0954,135075.5047
Q3UN10,4959.8,4970.801591,4301.590476,4828.040148
A0A0A6YY91,9384.8,8369.730141,8984.840908,7951.759069
Q6PF96,90467,81393.96901,75729.98766,84352.1558
D3YVI6,21091,21352.81527,20388.64236,19267.79082
Q63810,3852.7,4707.813914,4044.370689,3789.961491
Q8BFQ8,31443,31074.27976,28644.69388,29461.52835
P47754,49669,49770.13898,47957.02649,45153.63757
P15864,177500,196404.4851,170137.7282,173320.5078
Q8JZK9,7795.4,8894.431174,7679.326702,7635.428697
A0A2R8VHJ0,13668,19476.37988,13077.29372,15972.24778
Q8BRB6,25462,22658.9927,23656.66275,22073.52638
Q9CQ69,113190,118052.9538,103515.9792,109610.7358
P84075,155320,139936.2045,142917.2553,136615.3968
P35908,35390,37116.14685,42905.14649,27357.87918
P45878,37366,42379.08618,35342.31142,37449.82723
P26040,135920,151115.1719,129941.5986,133500.8128
Q9QXL2,95452,96550.40595,90561.1711,88504.64442
Q80SZ7,27620,31134.80994,23346.53961,29457.17837
Q9D1X0,21795,21795.64128,19273.24146,21014.74183
P61982,529390,475066.2906,483557.5625,467683.4926
E9PX29,31866,34072.11627,28651.20907,31740.04662
A0A0G2JDL3,24638,25913.286,22808.38473,23845.70725
Q9D0E1,148530,161265.1263,139594.5073,145393.6516
E9PYI8,18323,15018.49187,16401.34476,15565.95987
Q9D6J5,56038,50967.99926,53260.39292,48557.93005
A2AGN7,21126,22566.60454,19566.42511,20664.13363
P11983,174490,161551.8481,162436.7711,155242.0009
Q8CFV9,8329.4,8900.006322,7318.775968,8415.466682
Q91V12,105870,97464.73016,102169.9405,91471.32915
Q99K46,12000,10154.41453,11017.97178,10209.39745
P68254,249780,222655.4657,228592.0323,219882.6682
Q9Z130,15943,13213.09979,15197.33725,13033.40291
Q9DCX2,243930,231161.548,222128.9617,223797.648
Q6ZWZ7,26023,24019.32871,25847.07036,22058.73645
Q6PB66,13417,17365.78829,11881.75595,15338.89104
P12023,17056,16765.26525,15620.82474,15968.7678
P09528,11796,20078.49582,9649.390509,16930.11285
Q6P5F9,30616,30900.65374,28361.93454,28972.59086
P02798,77428,40800.52296,72480.20981,50354.4708
Q7TMF3,14223,14135.70707,13158.0821,13358.78124
P63260,1134400,1103337.637,1048385.632,1051737.586
Q8BPW9,25482,26880.17588,23676.20833,24812.27228
Q6PGN3,26330,26405.49188,24735.57858,24641.75316
Q03265,1474300,1462010.775,1370144.912,1380334.895
Q9D8W7,61422,72413.20269,53806.36602,66625.99704
A0A0R4IZX5,122410,123338.1937,119095.1067,112229.4223
P63038,495720,430656.2578,462865.3122,426054.2069
Q8R105,5980.6,5073.065726,5489.700919,5130.189592
Q61166,25690,26424.60667,23119.81092,25139.3906
Q8BRV5,36982,41021.93596,33185.78282,38052.73412
A2BE93,41175,31203.30461,35174.21946,34842.45065
O88543,20936,23482.52165,19197.66524,21434.94966
D3YYG8,39273,36498.10192,35520.82769,35985.62476
Q60625,266250,261346.99,256242.5079,242084.9539
E9Q2A6,110150,106700.3604,102510.0335,101641.5768
Q8C605,165310,179679.0423,142734.83,171754.5159
P62908,90423,97338.89111,82497.96928,90453.43439
Q8BK30,62702,49166.43014,56804.65746,51954.39257
F8WIT2,54642,56522.43916,52816.05681,51314.07586
E9QNQ4,35782,33317.08199,29524.24482,34774.591
Q8K400,62609,67523.0018,59293.46086,61345.99422
Q9EPL8,11015,16914.99779,10913.5984,13511.03045
A0A0R4J0Q5,68970,68317.85856,65303.07412,63935.97089
P35802,165320,166888.0608,150240.3313,159348.3798
P03995,545550,469698.2199,463204.1022,498803.2324
Q922D8,64643,76718.80953,61094.25998,67677.82163
Q9QZ05,4578.4,6737.804797,4205.817151,5662.017855
O88998,23333,25006.92629,22889.17312,22251.87546
D3YVM5,26315,25301.61266,24443.69797,24263.30511
Q91VW3,51033,46815.31076,48402.66564,45037.05817
P63330,178230,183820.5805,168261.3529,170153.7241
P06745,300830,297696.9523,276205.0567,284906.1335
B1AU25,45250,53731.67957,42854.32799,47397.35602
P56564,13214,13550.79444,12036.55692,12868.10376
Q9WTL7,51125,51441.09036,47298.99209,48718.87922
Q02053,313390,307620.715,300845.5134,286724.4241
F6YNQ1,130430,141122.9145,122033.4584,129394.4339
Q61081,44378,43459.07191,41105.65041,41555.33609
O88485,80476,83898.00672,73894.00651,78889.45392
F8WGT1,36388,32985.75894,35625.07076,31218.04931
E9Q6I5,5747.4,5237.612225,4911.151855,5425.553072
A0A1B0GRM4,52477,58038.8793,50092.70649,52216.26122
P05064,928630,862969.1309,865634.4919,838797.4823
Q64332,279020,271063.6758,261050.7197,258519.1693
M0QW69,3631.4,4081.167325,3286.262928,3773.866574
Q99KU0,2880.5,3068.401943,2506.915642,2958.071773
Q5SQB0,83563,78819.84372,75057.61983,78089.92803
P50247,105690,103157.7523,98095.33933,98753.19167
Q9QXV0,43289,43654.99852,39985.03736,41430.05674
Q8K1K2,23808,21203.08273,22345.80609,20852.05266
O08553,1061800,1004020.365,972196.975,981876.9458
Q9D0F3,13944,14277.31582,13460.38701,13092.56261
Q9WV18,32257,34459.1908,30169.24884,31818.34622
P63085,85755,73405.57896,80478.25971,73419.79207
P50516,661060,635407.5353,608531.9787,616009.0291
Q9CQI6,95816,83996.76648,90579.41364,82800.08379
A0A1D5RM97,4814.9,4200.953354,4341.593755,4289.077922
P97492,19559,19855.48991,18195.62868,18739.70354
Q9D0W5,12553,12172.14009,11727.60651,11651.85002
F7CYX4,17805,19342.57634,17929.80884,16926.63287
A0A0R3P9C8,134350,139942.5761,121572.1828,133248.5141
P62983,87740,107968.3082,82242.57375,95168.81012
Q8C163,36045,43183.50033,33951.96941,38284.15293
Q3UZP4,13109,14732.08857,11432.98952,13945.15822
P00920,119080,112046.1305,101277.3592,115213.5069
Q01768,15439,17910.55986,15025.33617,15725.16906
G3UY65,17316,17332.33741,16224.13153,16388.10564
Q60605,81952,83796.06117,76364.56738,78963.40354
P62880,117910,121272.2033,108536.5863,114935.1084
P63318,319880,315585.2115,299125.5027,300557.3529
Q8BVQ5,38893,41429.71819,38569.93762,36929.56991
A0A1B0GSG5,91063,93318.41325,83496.09672,88791.74295
Q9R0H0,3539.1,4248.103173,3131.201355,3903.756906
Q9Z0S1,33906,36257.57412,31027.95117,34025.52485
A0A140LHL5,146300,160835.0435,116270.1194,161236.27
A2AJ20,8121.2,6400.110143,7611.177792,6645.460793
P63168,78092,73553.7186,67701.96787,74849.19472
P62900,82905,86027.7131,79563.52673,79155.67255
Q9CQA3,75197,71693.2122,70275.46878,69220.32369
A0A0J9YUR5,29388,29134.1284,27478.47448,27719.79731
Q9DCC5,89748,87676.36389,85028.46992,83133.29207
Q9D7S9,57561,56482.61668,53900.18479,53897.09257
P24369,19764,21312.99278,18899.26943,19412.21008
S4R2K9,52699,46017.2682,47609.11523,47061.53775
Q9R0Q6,92546,89581.47147,88968.85814,84395.65558
Q9CQV8,222750,202457.5025,201853.6837,203448.4528
P17183,328990,279267.1072,308741.9264,281487.0511
P17751,395850,378679.9533,371978.3815,364267.1249
D3YUT3,22992,25425.85881,20872.06962,23736.08782
A0A087WR97,44619,43567.38906,41208.59045,42099.95329
Q8BIZ1,133490,131114.7281,125090.3865,125218.4554
Q9QXT0,23248,25360.54993,21879.31833,23282.82015
Q91WD5,106110,107466.5449,96690.66389,103372.8679
A0A0R4J0K1,4777.5,4490.064579,4518.937286,4334.752687
Q3ULQ2,37270,32162.22999,34079.66718,32870.1708
Q8CFX3,14479,17002.60725,12350.32857,16107.96708
P63325,17498,20094.42481,15576.52143,18757.10345
D3Z2V6,6801.9,8528.064333,7197.593393,6964.48815
Q8CG76,25245,26892.91907,23604.54122,25032.38115
E9Q852,7734.7,8471.197827,7081.232061,7914.088262
P47738,90420,107888.6633,88636.58334,93994.31617
Q9WTT4,210020,191243.4913,201319.4379,185282.9463
P62743,35155,34338.13045,34443.2149,31934.92562
P07901,259010,280748.5036,252072.7849,253316.5961
P61759,36382,30179.07035,34800.24743,30359.36373
Q80SW1,88057,90545.17555,81528.50869,85929.45768
P56393,15822,15184.15339,14810.33483,14674.21446
A0A0A0MQM0,30331,28387.05863,26609.34784,28882.98133
Q9CQC7,59155,66302.84093,57164.29606,59504.2137
Q9CRB8,6247.2,6701.964562,5890.515541,6199.327089
D3YUB9,5948.4,6297.527427,5708.481072,5785.731218
P48774,99082,91862.50328,89512.22517,92219.5253
Q8BGQ7,105200,104266.4102,98714.28258,99562.28751
A0A571BEM2,27206,30175.88455,25203.36937,27924.24626
Q8BL65,32619,28291.48467,31242.95251,28005.15584
Q62277,150510,164068.6291,147868.8014,147203.2423
P14106,8836,7390.256355,8679.929915,7278.991532
Q924B0,92100,88302.37332,86362.78127,85493.58992
H3BJP2,24612,24904.98073,24037.14998,23006.16158
Q4W8U9,42926,35405.37299,40127.06855,36432.80246
O09111,36227,36880.39775,34878.42974,34342.20322
G3UYQ8,12985,16778.00845,12155.13342,14710.75428
Q9ERS2,43999,47774.23614,40020.2194,45104.04783
A2AP32,8880.1,10160.46755,8931.807244,8853.944425
P31230,6253,6610.054272,5921.00664,6149.389346
G3UZ28,26868,26641.24098,26343.528,24748.76261
P63017,615480,627506.7547,570782.9553,599339.9149
Q91YD9,25659,30292.1662,23003.8405,28039.08567
Q640R3,15703,16151.99902,15138.70052,15000.46279
H3BIY2,29332,33361.68317,29257.12194,29312.75911
P47941,14070,15524.55598,14313.87719,13584.11008
Q6ZWX6,30909,34078.48786,28975.66564,31481.65795
A2AWI7,161300,161153.6233,150996.0936,154258.906
P29341,58663,55600.15046,57205.99329,52745.2185
Q8CAA7,51697,50937.73418,46567.98752,50233.54142
Q6PDS5,29493,28853.77812,28707.23972,27116.02042
O08848,13889,13881.63963,13580.26655,12914.21352
P04925,58432,57725.07814,56755.14199,54175.49113
A0A1D5RLD8,740630,709238.4183,664679.9048,709542.2476
Q9D2V7,4486.7,4685.194744,4294.032853,4357.372571
P20108,46225,41886.88029,43946.2742,41194.28795
P26043,20303,22463.06609,19264.1202,20604.10394
P61082,60037,60485.57265,60575.65068,54890.62745
Q8BGD9,60767,54137.86889,59302.58213,52583.39933
E9Q855,40571,41781.74893,37956.20652,39645.69592
A0A0G2JER6,9673.2,10877.59082,9202.448327,9910.988983
A0A338P799,232410,208494.5908,212460.4165,211643.8106
D6REI6,9646,8830.874492,9548.405031,8405.548733
P60670,12514,11358.48712,11226.84884,11620.53018
O70251,30536,28498.56158,28814.08887,27889.44644
Q921J2,43716,51562.15071,40253.46328,47188.5571
Q9JHI5,91377,83338.89907,82981.39654,84477.43515
A0A0R4J252,12872,14337.84599,12294.16762,13084.73265
P20029,296240,308672.0285,288531.8003,284427.6359
Q9CWJ9,81698,81515.02935,75051.10463,79261.812
A0A087WSF5,12440,12511.58693,11746.76117,11918.93865
Q99N15,13659,13842.77288,12892.91378,13155.20228
A0A1W2P7Y9,216800,213591.8686,209072.5166,202186.9592
P23116,46667,42877.66366,45076.00852,41586.65593
Q9D2N9,13528,11834.44543,12440.62914,12109.46767
Q80VP1,41299,42070.06371,39175.85049,39805.7751
P70333,155530,165820.8183,156924.9185,148203.7371
P62918,11433,11281.2315,10684.65454,10913.22382
G5E8R3,134830,126256.3852,121688.1532,127436.944
Q29ZQ5,88320,102319.8873,74618.49587,98892.39095
Q9D1A2,57756,56036.60487,53467.57603,54895.84742
G3UZ48,34750,37750.12078,33817.75646,34399.62293
Q99LD4,61948,60482.38685,59537.12905,57659.8232
A2RT62,31414,30828.97327,30024.61158,29450.21841
P97807,117780,102028.3867,111401.9678,102911.7703
O55022,57691,65351.88004,57312.84244,58006.95141
Q9DAK9,67300,60050.71113,61757.50654,61165.90515
Q9ER72,18854,16524.73745,17323.89597,16945.77277
Q8BG39,105220,110934.2867,98711.6765,104703.961
A1BN54,294060,307429.5671,277703.5509,289978.2073
Q8CJH3,13271,13764.72082,11771.90981,13533.65034
A2A6U3,66522,60280.08864,60864.92521,61256.38468
P16014,13867,14326.21783,12303.8101,14105.23739
Q9CXZ1,110230,91696.84175,103145.9163,94968.71115
P05063,347920,331354.9147,330841.4582,321967.9427
Q8BH44,20207,20441.67686,19217.21081,19432.21997
F6ST32,9099,8916.094605,8421.016178,8728.665069
D6RIJ2,23236,21550.33478,21708.6203,21407.10981
Q6PDM2,99626,98242.06502,95390.23154,93829.01702
A2AEV7,21091,20037.08044,20099.36783,19464.40981
Q5EBP8,48558,52103.73647,45175.03944,49217.38665
G3X9P1,33311,30699.94843,30799.91944,30804.80143
E0CXN5,50900,59986.99516,45683.22443,56013.79167
O88384,10305,12720.8939,10810.00684,10653.96516
F6VTS9,5652.7,5604.934806,5898.333772,5023.78914
Q6NZL0,83167,81312.73114,82873.24435,75820.10972
A0A0G2JGY8,29122,20755.47803,31194.74009,20363.98518
P50153,6999.6,7691.473614,6778.666537,7032.869798
D6RFB9,37392,27217.87053,33377.32947,30956.18065
P48320,38767,31071.09397,39216.24468,30765.65163
Q9R0P9,231240,207060.9815,215105.5845,209407.9221
Q8VE33,29978,47610.16751,48741.45563,25969.36632
F8WHL1,86164,83378.72155,82160.48233,80518.95553
Q3U4W8,186950,180013.5512,170528.6397,179332.1769
A0A1Y7VM80,5505.4,5254.337668,4794.660219,5407.892163
Q4VA93,73618,72422.76009,71747.90221,68569.56704
P60122,51019,55687.75992,48704.97055,51575.94451
Q3TC33,9661.4,10912.6346,9466.574217,9830.0794
P28663,247110,224503.2289,236592.6883,221622.6592
F6QC68,10210,10803.20242,9606.911456,10208.52745
A0A494BB86,67542,60851.93949,64125.12737,60633.46789
Q80UW2,59074,59435.852,57213.81152,56114.71115
E9Q6U4,39259,33071.7755,35713.67738,34887.69042
O55126,35219,33519.38021,33619.69461,32610.91214
Q3TT92,57244,50101.46204,55299.64806,49885.54322
A2AAW9,32415,34009.99319,30078.03615,32540.4425
Q91V89,30823,32713.37316,30061.09665,30201.89454
A0A0R4J263,3751,3879.984142,3496.573332,3721.840842
Q8VDD5,189710,186974.5212,182881.4441,178523.0811
O35465,26386,26133.1061,25445.73452,24903.62181
Q99M28,19184,20350.8816,19393.121,18340.37559
Q9WU78,51837,57140.48409,50582.64894,52094.46185
P54071,41635,53083.36955,41698.5329,45546.87555
E9QLJ0,27195,21999.53239,26325.28547,22578.99378
J3QP71,66737,68787.76386,63061.84801,65539.37264
P36916,9793.5,9158.53388,9502.147166,8879.174295
O08539,313460,298302.254,295046.9924,293449.4895
Q8CDN6,21506,22189.08741,20924.19116,20740.69324
P47753,16761,17749.67703,16342.70803,16422.03547
P24472,65401,67624.94736,62569.29948,63877.68119
P80316,165450,148873.9625,156586.1285,149082.4326
Q91WM2,11015,10994.50963,11002.72623,10205.91747
Q00493,59286,59701.86619,56094.50151,57346.62481
P05202,353770,334907.0802,336991.7996,327588.1137
E0CZH6,5477.6,4925.88183,5151.171534,4958.191478
Q9D8B3,67134,61391.93235,65002.07224,60149.75038
Q9DCZ4,60109,73118.85708,58824.36703,64630.22732
Q6GYP7,14041,16314.47475,14007.66316,14448.88562
P00493,64814,55753.06879,62734.78536,55953.76198
P68510,310630,278327.2967,291763.3356,281104.253
A0A1D5RMG4,22488,16258.72327,21584.83165,17646.98916
A0A3Q4EBU5,46611,50048.89636,45438.2532,46175.88231
Q4KMM3,63586,64477.37832,65439.89315,58353.20963
P62482,65551,74378.84044,61148.98759,69246.42356
Q8CDG3,14776,15505.44119,14458.51445,14382.76597
F8WIR1,62087,59846.82002,57839.26997,59115.32571
J3QN06,21121,24000.21392,20142.3681,22053.51648
Q9D3D9,169230,156107.3183,163622.5361,152927.8128
Q8BTZ7,20556,21851.39275,19847.88141,20376.16511
P17809,31937,33449.29264,29848.70139,32011.48522
P27773,239140,224152.7911,234625.1003,216080.7877
Q3UHY7,5575.5,4621.797352,5283.429935,4791.152338
Q9Z2U1,57131,53495.93047,54665.06835,52533.80958
P80318,95786,96359.25804,92686.42679,91506.12897
Q9DB77,207160,209880.4133,202427.0206,197523.7833
P99024,42092,34287.15767,38783.63592,36551.12185
E9Q1K3,156120,146005.1509,150331.544,142870.6646
Q8K1M3,148460,145181.6219,138330.5601,142879.3645
Q9QYS9,22370,22784.83175,21378.95157,21733.35813
Q9QYB8,121770,119932.5749,117644.8249,114943.8083
P35762,98893,106657.3521,93764.03957,100275.6838
Q8VCD6,26036,31891.43711,23724.42075,29398.88867
G3UW57,17517,17257.47114,16817.01402,16620.39445
P25444,46536,44156.76181,46226.59145,42078.2034
P30275,204830,204719.4195,194426.3646,197654.2826
P19246,349910,327293.0215,306696.156,340829.4456
P62874,97692,102617.7594,93405.704,96900.10121
Q9JII5,9609.9,9387.433511,9865.173674,8644.884501
A0A0A0MQB7,28175,24404.81035,27233.50325,24564.32356
G3UVV4,576690,560238.6168,554534.066,542198.609
Q9D287,9018.3,7735.756215,8098.774774,8230.244635
Q8BL66,31816,29728.27985,30252.6433,29421.50855
Q6ZPE2,78580,93041.24877,75989.29231,83936.29794
Q61171,73054,66028.86225,69134.00711,66414.58813
P16330,636850,645570.2329,487662.1336,699015.3018
Q9R062,9688.3,10024.75253,9991.698705,9042.733453
P63276,22774,22526.78206,22146.44121,21514.11926
G5E8R0,91586,77249.245,86529.57019,79976.07833
Q9D2G2,125410,124330.5699,115093.4757,123234.8657
B0V2N1,67241,64547.46589,64521.25106,62906.76619
A0A2R8VI25,19533,22431.2081,18469.26675,20730.25329
Q62348,67559,55681.38832,60971.77436,60127.1305
Q8BV13,3452.6,3640.093506,3480.285351,3320.250909
P60335,76361,76739.51722,72528.42223,74081.85867
Q3UHJ0,104010,100854.4199,97502.45684,99501.38782
Q8BW96,31865,30010.22302,29977.70219,29869.55625
P68368,488550,510603.8742,448036.7349,496897.9422
Q921L6,156510,148040.8762,151165.4886,144506.2562
Q4FE56,22060,24979.847,21033.64639,23092.29113
A0A0A6YY29,23492,24312.42219,22207.68402,23306.31003
Q9D051,107340,94943.17055,97776.09491,98988.09046
Q61361,156730,143934.3818,143177.863,147551.2405
Q3TXS7,23476,25868.68481,21595.25595,24670.46301
Q99L13,33222,31873.91522,30713.91891,31894.03583
A0A0G2JGJ1,87913,91577.3743,77233.69401,91575.72862
Q3UM45,52668,47097.25394,49140.18539,48161.21209
Q9D1L0,44883,45458.16054,43056.29895,43546.75584
E9Q175,31825,33309.1175,29743.15528,32076.73489
Q9Z268,33042,31200.11881,32370.08076,30221.03444
P46638,45631,55119.09487,43670.03005,49870.75329
Q29SA9,4818.3,5039.933421,4593.731692,4795.676314
A0A140T8U1,8468,5381.132453,8063.983647,6285.021648
Q8CBG6,20536,20659.90407,20228.36864,19499.20963
P10630,98341,101225.5654,90793.11195,98857.59113
Q99PT1,110080,95033.96581,103007.7942,98466.09315
Q9D9V3,1894.8,1574.230531,1859.30554,1599.747765
E9PVA8,10476,9819.905674,10009.81094,9717.849978
B1AVY7,24183,25065.86356,23175.84157,23872.67712
O35449,14619,16296.95285,13380.90167,15563.34989
P08551,355570,341915.8372,297757.3124,363379.7295
B2RXS8,91837,82856.25057,84945.07546,85141.24174
P99029,186250,199430.9938,184236.6041,184125.8522
P17563,22531,20148.58339,21101.40439,20605.84393
P48678,162430,173880.8888,155048.5432,164333.4541
E9Q401,21158,23552.60922,19958.63968,22124.85611
Q8BH66,53426,54994.84872,50759.86216,52857.44792
A2ABY3,38069,37613.13144,35694.1318,37008.7395
O88844,111190,107794.6822,106039.9647,105626.1563
F8VPN4,14257,16182.2641,14160.11865,14630.71469
A0A0R4J0I9,49048,49743.05969,47382.38655,47552.21523
O54991,37116,37076.32437,35283.67469,36016.07461
H3BK66,26985,22937.75008,24545.33497,24436.43421
P48036,178150,182609.977,163961.326,179358.2768
Q9CZT8,57703,56226.15989,60083.10215,51628.14425
A0A0N4SWH2,45986,39277.71122,44562.61138,39950.19436
Q8C3F2,11617,11031.14631,11320.407,10737.48473
O88741,59874,59829.29813,58338.33369,57203.94554
O55106,83368,72497.62635,82186.54309,72317.50775
Q80TL0,60949,55452.01082,57126.50795,56368.74984
P63044,263060,271971.6284,252385.5141,259632.7635
Q99KI0,370060,370317.2319,360407.4002,354209.9767
P09103,125300,120756.1039,121985.246,117101.3972
Q5SXE4,12468,16993.04985,12885.35615,14240.0867
Q9Z2I9,344120,302682.7271,328013.8648,308500.412
Q8BFZ9,50788,51186.22647,46857.26206,50618.07944
Q91VE0,10320,10323.89902,9957.689402,9946.6588
Q62419,21780,23020.58085,22353.62432,20865.1026
P70699,6735.8,7078.525959,6221.356999,6889.755535
Q3UHB8,13969,14893.60856,12745.01891,14528.05522
P53996,44650,41563.52173,42989.84399,41189.06798
Q62420,185820,158577.9051,172626.5316,166699.8419
Q9QXS1,585100,593004.5556,566965.0527,567393.6794
Q9D394,164060,152147.3706,154149.4466,153554.2096
Q9QX11,38656,40338.58216,35832.25387,39293.34774
D3Z3A0,10155,8503.055813,9543.062573,8940.073981
Q8K2B3,318510,304259.6974,310370.7244,296390.0743
Q8CBD0,22285,21588.56437,21313.79965,21192.22091
Q52KF7,131730,137559.5987,128918.7135,129507.5334
Q99KJ8,174130,161105.8363,167023.4664,160592.4734
O88342,268740,236179.1809,261220.1147,237848.0757
F7BX26,100390,97410.57158,98352.0379,94037.81594
Q6KCD5,4576.2,4489.108839,4819.939164,4092.284935
E0CY16,69030,62115.10864,65983.26018,62744.07703
Q9DBN4,5570.5,4939.580764,5159.641284,5128.362602
P28184,96697,65517.54157,98759.88893,70339.13793
Q9CYT6,63576,62988.01746,58380.03092,62985.06579
H7BWZ3,29872,31249.49869,28064.84177,30201.89454
A0A0A6YX18,146860,144077.7427,142708.7692,139399.3824
P97300,243600,226717.359,236227.8375,223945.5472
G3UZJ5,85652,79100.194,81693.99457,79281.8219
Q9CWS0,50510,42488.99623,46317.80415,45414.63623
A0A0G2JGY9,54453,56187.93031,52946.36065,53395.10515
P40237,49952,46088.94867,43739.09109,48830.23865
O08532,70383,65877.53682,66282.95902,66278.86883
P18760,269730,245354.2809,267591.9726,240527.6619
Q9JLJ2,17342,17775.16341,16461.28453,17203.29145
Q9CZ44,38553,38562.49943,37802.44798,36859.10027
F2Z488,39492,42543.1548,38706.75666,39657.87586
Q08509,18842,19262.93137,16454.76933,19623.61899
P35235,13401,11650.62485,13284.47683,11629.23014
B9EJA2,35111,35765.36824,33202.72232,34798.95087
P70232,60178,58919.75262,59913.70716,56162.5609
Q9Z0R4,44699,46039.56879,42842.60064,44240.14227
P61027,32220,31999.75426,32572.05171,30024.41545
Q9DCD0,10411,9185.613168,10207.35157,9196.72266
Q91YS4,50380,51630.64538,49484.18754,48905.92826
A0A0R4IZY0,29636,28246.88349,28438.8138,27897.2764
A0A1Y7VNP4,19696,18845.59175,18487.50929,18870.20287
Q3V3V9,9796.1,9100.074475,9901.528446,8744.324989
P32883,30605,31259.05608,29817.42847,29841.71639
P63011,189470,161790.783,189709.3655,161619.0681
P84309,20718,20935.47565,19433.51519,20566.69413
Q3UHL1,176050,158882.1489,171258.3413,158861.1823
P27601,24032,22491.73827,21505.3463,23436.80936
Q8R574,39933,39290.45441,39539.39822,37599.46646
Q64521,317340,323581.5661,304064.0184,312667.6906
A0A1B0GRW3,11267,11531.95385,11107.88143,10922.79378
Q99J99,57744,60096.90521,57004.02234,56548.83892
Q3UH99,80042,77013.4959,77618.09035,75415.5618
O08585,241310,220059.0398,232605.3907,220761.3636
Q68FG2,1061100,1063260.29,1042769.537,1017198.764
P61089,60471,68505.82068,56417.65504,64927.76579
Q9D0I9,26546,26375.2268,25299.79422,25848.43695
O88569,262000,273373.3798,256490.0852,258727.9682
Q9CQV6,11752,11298.75339,12213.63984,10535.64577
Q8C048,194660,191020.4854,192250.2904,183638.6547
A0A140LJF4,12187,14220.6086,11581.5359,13209.14201
Q9JJV2,148700,134964.7657,143503.6226,135719.3014
Q9WVA2,42821,42884.03526,42614.56892,40724.49037
P80317,63264,61823.60807,61812.23415,59977.49127
Q8K021,124340,123913.2303,119784.414,120537.8795
P70202,24895,23216.50746,24544.03193,22769.52279
A0A494BAX5,50073,50380.21942,46751.71594,49861.18334
P62754,55900,49516.86799,55183.67764,49495.78522
E9QA74,75707,72359.04411,71680.14421,72390.58737
P30416,30124,32144.7081,28794.5433,30722.15186
P58281,211010,209561.8334,201423.681,205684.3412
Q9CR68,163860,159688.156,162645.2572,153667.309
O88935,6172.7,6555.258536,6059.519626,6171.052235
Q9DCT8,26234,26098.06232,26623.68127,24547.79364
Q8VBV7,4156.3,4550.435462,4094.537669,4231.13622
A2APV2,7484.3,8875.794252,7088.007861,8234.681612
Q62186,9573.2,10325.01405,10016.97765,9258.492342
A0A494BBL4,85243,83475.88841,83470.03595,80991.3631
P35803,20134,24511.5346,17705.68623,23462.03923
P61979,149050,141473.3523,142005.1284,141487.3717
P56391,72937,65324.80075,68233.60755,67640.41182
Q3UMR5,47424,44086.67424,45483.85955,44244.49225
P28474,39157,33229.47253,37466.26407,34614.51182
Q6PH08,170050,138085.2555,165121.0303,144836.8545
Q8CIE6,15308,17759.23442,14961.48729,16299.3661
Q62048,44843,42111.47909,44051.82031,41419.61679
E9Q4G8,96013,96300.32076,91305.20605,94525.01343
Q9QUP5,90722,82180.86127,87684.06224,82898.39328
Q8K354,12971,15741.34957,12425.7745,14417.56579
P62814,310130,288426.2783,299698.8396,288116.4169
A0A1W2P838,15938,11463.45918,14782.97102,13127.36243
Q9DBG3,114170,110671.4583,110170.5965,109010.4389
Q8BH59,148650,152873.7327,139724.8112,149900.2284
A0A2C9F2D2,145080,160675.7535,136740.8532,153241.0112
Q9D6T9,20147,18955.5018,19008.72466,19172.09131
Q91V14,117600,120932.9157,102375.8206,124061.3614
P62748,19105,15759.34934,18603.47971,16414.20551
P61922,138250,118575.4247,127580.493,126332.0497
Q67FY2,14753,14698.95626,15206.45851,13695.4695
Q9EQ20,59030,58014.98582,53332.06003,59321.51464
P28667,21355,17505.96343,20472.03682,18502.19476
Q64133,18449,17853.21548,17366.89624,17905.37783
Q9WVE8,12234,12726.46905,12832.19219,11550.93054
O70435,115110,112149.6689,107286.9724,112934.1187
P42932,307890,301806.6325,299790.0523,294667.4832
Q80WM4,10723,10280.09429,10351.85853,10178.9476
A0A494BAD8,6643.7,8142.264119,6724.460138,7207.216901
Q3UHD9,22670,20470.34905,21987.47052,20671.0936
P31938,58326,59791.06855,57086.11376,57290.9451
Q9EPK7,11693,11080.20761,11379.95585,10962.81357
A0A0G2JDJ5,27562,28302.63496,26598.92354,27370.92911
B1AWN6,54800,53728.49377,52726.14716,52940.09749
Q8C5R8,32972,31972.67498,32114.68522,31383.34845
E0CX19,11050,11849.89656,10397.33457,11471.76095
Q8R5H6,56210,56447.57289,56506.26165,53549.96435
A0A0U1RP30,8080.7,8110.406133,8365.637045,7534.683215
E9Q7Q3,210990,197678.8045,199221.546,200751.4666
P09411,346850,325700.1222,330085.6959,328858.3072
P26443,529300,531359.3522,492313.9808,530958.2669
P29758,46991,44188.61979,44660.33926,44636.86023
D3YTP8,10454,8468.967768,9810.315756,9162.792835
Q7TQF7,215220,195162.0236,209489.4889,196714.6874
P15105,541600,471434.4802,510960.4608,493687.6588
Q64514,9543.8,9475.839423,9071.883876,9388.99167
Q6NVD0,8554.6,9340.124401,8684.751157,8581.983824
Q9CQE8,31476,31639.75902,30059.79361,31141.4897
A0A2I3BPL6,5681,5947.726738,4602.071138,6321.56146
