Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
CHM1	75	0	0	0	0	0	0	NaN	0	0	
CHM1	76	0	0	0	0	0	0	NaN	0	0	
CHM1	77	0	0	0	0	0	0	NaN	0	0	
CHM1	78	0	0	0	0	0	0	NaN	0	0	
CHM1	79	0	0	0	0	0	0	NaN	0	0	
CHM1	80	0	0	0	0	0	0	NaN	0	0	
CHM1	81	0	0	0	0	0	0	NaN	0	0	
CHM1	82	0	0	0	0	0	0	NaN	0	0	
CHM1	83	0	0	0	0	0	0	NaN	0	0	
CHM1	84	0	0	0	0	0	0	NaN	0	0	
CHM1	85	0	0	0	0	0	0	NaN	0	0	
CHM1	86	0	0	0	0	0	0	NaN	0	0	
CHM1	87	0	0	0	0	0	0	NaN	0	0	
CHM1	88	0	0	0	0	0	0	NaN	0	0	
CHM1	89	0	0	0	0	0	0	NaN	0	0	
CHM1	90	0	0	0	0	0	0	NaN	0	0	
CHM1	91	0	0	0	0	0	0	NaN	0	0	
CHM1	92	0	0	0	0	0	0	NaN	0	0	
CHM1	93	0	0	0	0	0	0	NaN	0	0	
CHM1	94	0	0	0	0	0	0	NaN	0	0	
CHM1	95	0	0	0	0	0	0	NaN	0	0	
CHM1	96	0	0	0	0	0	0	NaN	0	0	
CHM1	97	0	0	0	0	0	0	NaN	0	0	
CHM1	98	0	0	0	0	0	0	NaN	0	0	
CHM1	99	0	0	0	0	0	0	NaN	0	0	
CHM1	100	0	0	0	0	0	0	NaN	0	0	
CHM1	101	0	0	0	0	0	0	NaN	0	0	
CHM1	102	0	0	0	0	0	0	NaN	0	0	
CHM1	103	0	0	0	0	0	0	NaN	0	0	
CHM1	104	0	0	0	0	0	0	NaN	0	0	
CHM1	105	0	0	0	0	0	0	NaN	0	0	
CHM1	106	0	0	0	0	0	0	NaN	0	0	
CHM1	107	0	0	0	0	0	0	NaN	0	0	
CHM1	108	0	0	0	0	0	0	NaN	0	0	
CHM1	109	0	0	0	0	0	0	NaN	0	0	
CHM1	110	0	0	0	0	0	0	NaN	0	0	
CHM1	111	0	0	0	0	0	0	NaN	0	0	
CHM1	112	0	0	0	0	0	0	NaN	0	0	
CHM1	113	0	0	0	0	0	0	NaN	0	0	
CHM1	114	0	0	0	0	0	0	NaN	0	0	
CHM1	115	0	0	0	0	0	0	NaN	0	0	
CHM1	116	0	0	0	0	0	0	NaN	0	0	
CHM1	117	0	0	0	0	0	0	NaN	0	0	
CHM1	118	0	0	0	0	0	0	NaN	0	0	
CHM1	119	0	0	0	0	0	0	NaN	0	0	
CHM1	120	0	0	0	0	0	0	NaN	0	0	
CHM1	121	0	0	0	0	0	0	NaN	0	0	
CHM1	122	0	0	0	0	0	0	NaN	0	0	
CHM1	123	0	0	0	0	0	0	NaN	0	0	
CHM1	124	0	0	0	0	0	0	NaN	0	0	
CHM1	125	0	0	0	0	0	0	NaN	0	0	
CHM1	126	0	0	0	0	0	0	NaN	0	0	
CHM1	127	0	0	0	0	0	0	NaN	0	0	
CHM1	128	0	0	0	0	0	0	NaN	0	0	
CHM1	129	0	0	0	0	0	0	NaN	0	0	
CHM1	130	0	0	0	0	0	0	NaN	0	0	
CHM1	131	0	0	0	0	0	0	NaN	0	0	
CHM1	132	0	0	0	0	0	0	NaN	0	0	
CHM1	133	0	0	0	0	0	0	NaN	0	0	
CHM1	134	0	0	0	0	0	0	NaN	0	0	
CHM1	135	0	0	0	0	0	0	NaN	0	0	
CHM1	136	0	0	0	0	0	0	NaN	0	0	
CHM1	137	0	0	0	0	0	0	NaN	0	0	
CHM1	138	0	0	0	0	0	0	NaN	0	0	
CHM1	139	0	0	0	0	0	0	NaN	0	0	
CHM1	140	0	0	0	0	0	0	NaN	0	0	
CHM1	141	0	0	0	0	0	0	NaN	0	0	
CHM1	142	0	0	0	0	0	0	NaN	0	0	
CHM1	143	0	0	0	0	0	0	NaN	0	0	
CHM1	144	0	0	0	0	0	0	NaN	0	0	
CHM1	145	0	0	0	0	0	0	NaN	0	0	
CHM1	146	0	0	0	0	0	0	NaN	0	0	
CHM1	147	0	0	0	0	0	0	NaN	0	0	
CHM1	148	0	0	0	0	0	0	NaN	0	0	
CHM1	149	0	0	0	0	0	0	NaN	0	0	
CHM1	150	0	0	0	0	0	0	NaN	0	0	
CHM1	151	0	0	0	0	0	0	NaN	0	0	
CHM1	152	0	0	0	0	0	0	NaN	0	0	
CHM1	153	0	0	0	0	0	0	NaN	0	0	
CHM1	154	0	0	0	0	0	0	NaN	0	0	
CHM1	155	0	0	0	0	0	0	NaN	0	0	
CHM1	156	0	0	0	0	0	0	NaN	0	0	
CHM1	157	0	0	0	0	0	0	NaN	0	0	
CHM1	158	0	0	0	0	0	0	NaN	0	0	
CHM1	159	0	0	0	0	0	0	NaN	0	0	
CHM1	160	0	0	0	0	0	0	NaN	0	0	
CHM1	161	0	0	0	0	0	0	NaN	0	0	
CHM1	162	0	0	0	0	0	0	NaN	0	0	
CHM1	163	0	0	0	0	0	0	NaN	0	0	
CHM1	164	0	0	0	0	0	0	NaN	0	0	
CHM1	165	0	0	0	0	0	0	NaN	0	0	
CHM1	166	0	0	0	0	0	0	NaN	0	0	
CHM1	167	0	0	0	0	0	0	NaN	0	0	
CHM1	168	0	0	0	0	0	0	NaN	0	0	
CHM1	169	0	0	0	0	0	0	NaN	0	0	
CHM1	170	0	0	0	0	0	0	NaN	0	0	
CHM1	171	0	0	0	0	0	0	NaN	0	0	
CHM1	172	0	0	0	0	0	0	NaN	0	0	
CHM1	173	0	0	0	0	0	0	NaN	0	0	
CHM1	174	0	0	0	0	0	0	NaN	0	0	
CHM1	175	0	0	0	0	0	0	NaN	0	0	
CHM1	176	0	0	0	0	0	0	NaN	0	0	
CHM1	177	0	0	0	0	0	0	NaN	0	0	
CHM1	178	0	0	0	0	0	0	NaN	0	0	
CHM1	179	0	0	0	0	0	0	NaN	0	0	
CHM1	180	0	0	0	0	0	0	NaN	0	0	
CHM1	181	0	0	0	0	0	0	NaN	0	0	
CHM1	182	0	0	0	0	0	0	NaN	0	0	
CHM1	183	0	0	0	0	0	0	NaN	0	0	
CHM1	184	0	0	0	0	0	0	NaN	0	0	
CHM1	185	0	0	0	0	0	0	NaN	0	0	
CHM1	186	0	0	0	0	0	0	NaN	0	0	
CHM1	187	0	0	0	0	0	0	NaN	0	0	
CHM1	188	0	0	0	0	0	0	NaN	0	0	
CHM1	189	0	0	0	0	0	0	NaN	0	0	
CHM1	190	0	0	0	0	0	0	NaN	0	0	
CHM1	191	0	0	0	0	0	0	NaN	0	0	
CHM1	192	0	0	0	0	0	0	NaN	0	0	
CHM1	193	0	0	0	0	0	0	NaN	0	0	
CHM1	194	0	0	0	0	0	0	NaN	0	0	
CHM1	195	0	0	0	0	0	0	NaN	0	0	
CHM1	196	0	0	0	0	0	0	NaN	0	0	
CHM1	197	0	0	0	0	0	0	NaN	0	0	
CHM1	198	0	0	0	0	0	0	NaN	0	0	
CHM1	199	0	0	0	0	0	0	NaN	0	0	
CHM1	200	0	0	0	0	0	0	NaN	0	0	
CHM1	201	0	0	0	0	0	0	NaN	0	0	
CHM1	202	0	0	0	0	0	0	NaN	0	0	
CHM1	203	0	0	0	0	0	0	NaN	0	0	
CHM1	204	0	0	0	0	0	0	NaN	0	0	
CHM1	205	0	0	0	0	0	0	NaN	0	0	
CHM1	206	0	0	0	0	0	0	NaN	0	0	
CHM1	207	0	0	0	0	0	0	NaN	0	0	
CHM1	208	0	0	0	0	0	0	NaN	0	0	
CHM1	209	0	0	0	0	0	0	NaN	0	0	
CHM1	210	0	0	0	0	0	0	NaN	0	0	
CHM1	211	0	0	0	0	0	0	NaN	0	0	
CHM1	212	0	0	0	0	0	0	NaN	0	0	
CHM1	213	0	0	0	0	0	0	NaN	0	0	
CHM1	214	0	0	0	0	0	0	NaN	0	0	
CHM1	215	0	0	0	0	0	0	NaN	0	0	
CHM1	216	0	0	0	0	0	0	NaN	0	0	
CHM1	217	0	0	0	0	0	0	NaN	0	0	
CHM1	218	0	0	0	0	0	0	NaN	0	0	
CHM1	219	0	0	0	0	0	0	NaN	0	0	
CHM1	220	0	0	0	0	0	0	NaN	0	0	
CHM1	221	0	0	0	0	0	0	NaN	0	0	
CHM1	222	0	0	0	0	0	0	NaN	0	0	
CHM1	223	0	0	0	0	0	0	NaN	0	0	
CHM1	224	0	0	0	0	0	0	NaN	0	0	
CHM1	225	0	0	0	0	0	0	NaN	0	0	
CHM1	226	0	0	0	0	0	0	NaN	0	0	
CHM1	227	0	0	0	0	0	0	NaN	0	0	
CHM1	228	0	0	0	0	0	0	NaN	0	0	
CHM1	229	0	0	0	0	0	0	NaN	0	0	
CHM1	230	0	0	0	0	0	0	NaN	0	0	
CHM1	231	148.4	6.212	10.78	0	0.5389	0.01179	2.187	0.3061	0.02	6.534
CHM1	232	296.9	12.42	21.56	0	1.078	0.02357	2.187	0.6121	0.04	6.534
CHM1	233	445.4	18.64	32.34	0	1.617	0.03536	2.187	0.9182	0.06	6.534
CHM1	234	593.8	24.85	43.11	0	2.156	0.04714	2.187	1.224	0.08	6.534
CHM1	235	742.2	31.06	53.89	0	2.695	0.05893	2.187	1.53	0.1	6.534
CHM1	236	890.7	37.27	64.67	0	3.234	0.07071	2.187	1.836	0.12	6.534
CHM1	237	1039	43.48	75.45	0	3.772	0.0825	2.187	2.142	0.14	6.534
CHM1	238	1188	49.69	86.23	0	4.311	0.09429	2.187	2.449	0.16	6.534
CHM1	239	1336	55.91	97.01	0	4.85	0.1061	2.187	2.755	0.18	6.534
CHM1	240	1484	62.12	107.8	0	5.389	0.1179	2.187	3.061	0.2	6.534
CHM1	241	1633	68.33	118.6	0	5.928	0.1296	2.187	3.367	0.22	6.534
CHM1	242	1781	74.54	129.3	0	6.467	0.1414	2.187	3.673	0.24	6.534
CHM1	243	1930	80.75	140.1	0	7.006	0.1532	2.187	3.979	0.26	6.534
CHM1	244	2078	86.96	150.9	0	7.545	0.165	2.187	4.285	0.28	6.534
CHM1	245	2227	93.18	161.7	0	8.084	0.1768	2.187	4.591	0.3	6.534
CHM1	246	2375	99.39	172.5	0	8.623	0.1886	2.187	4.897	0.32	6.534
CHM1	247	2524	105.6	183.2	0	9.162	0.2004	2.187	5.203	0.34	6.534
CHM1	248	2672	111.8	194	0	9.701	0.2121	2.187	5.509	0.36	6.534
CHM1	249	2821	118	204.8	0	10.24	0.2239	2.187	5.815	0.38	6.534
CHM1	250	2969	124.2	215.6	0	10.78	0.2357	2.187	6.121	0.4	6.534
CHM1	251	3159	132.1	229.9	0	11.49	0.2554	2.222	6.419	0.4211	6.56
CHM1	252	3350	140	244.1	0	12.21	0.275	2.253	6.716	0.4421	6.583
CHM1	253	3540	147.9	258.4	0	12.92	0.2946	2.28	7.014	0.4632	6.604
CHM1	254	3731	155.7	272.7	0	13.64	0.3143	2.305	7.311	0.4843	6.624
CHM1	255	3921	163.6	287	0	14.35	0.3339	2.327	7.609	0.5054	6.642
CHM1	256	4112	171.5	301.3	0	15.06	0.3536	2.347	7.906	0.5264	6.658
CHM1	257	4302	179.4	315.6	0	15.78	0.3732	2.365	8.204	0.5475	6.674
CHM1	258	4492	187.2	329.9	0	16.49	0.3929	2.382	8.501	0.5686	6.688
CHM1	259	4683	195.1	344.1	0	17.21	0.4125	2.397	8.799	0.5896	6.701
CHM1	260	4873	203	358.4	0	17.92	0.4321	2.411	9.096	0.6107	6.714
CHM1	261	5064	210.9	372.7	0	18.64	0.4518	2.424	9.394	0.6318	6.725
CHM1	262	5254	218.7	387	0	19.35	0.4714	2.436	9.691	0.6529	6.736
CHM1	263	5445	226.6	401.3	0	20.06	0.4911	2.447	9.989	0.6739	6.747
CHM1	264	5635	234.5	415.6	0	20.78	0.5107	2.458	10.29	0.695	6.756
CHM1	265	5826	242.4	429.9	0	21.49	0.5304	2.468	10.58	0.7161	6.766
CHM1	266	6016	250.2	444.1	0	22.21	0.55	2.477	10.88	0.7371	6.774
CHM1	267	6206	258.1	458.4	0	22.92	0.5696	2.485	11.18	0.7582	6.783
CHM1	268	6397	266	472.7	0	23.64	0.5893	2.493	11.48	0.7793	6.79
CHM1	269	6587	273.9	487	0	24.35	0.6089	2.501	11.77	0.8004	6.798
CHM1	270	6778	281.7	501.3	0	25.06	0.6286	2.508	12.07	0.8214	6.805
CHM1	271	6983	290	518.4	0	25.92	0.6482	2.501	12.4	0.84	6.774
CHM1	272	7188	298.2	535.4	0	26.77	0.6679	2.495	12.73	0.8586	6.745
CHM1	273	7393	306.5	552.5	0	27.62	0.6875	2.489	13.06	0.8771	6.717
CHM1	274	7598	314.7	569.6	0	28.48	0.7071	2.483	13.39	0.8957	6.691
CHM1	275	7803	323	586.6	0	29.33	0.7268	2.478	13.72	0.9143	6.666
CHM1	276	8008	331.2	603.7	0	30.19	0.7464	2.473	14.04	0.9329	6.642
CHM1	277	8213	339.5	620.8	0	31.04	0.7661	2.468	14.37	0.9514	6.619
CHM1	278	8418	347.7	637.9	0	31.89	0.7857	2.464	14.7	0.97	6.597
CHM1	279	8623	356	654.9	0	32.75	0.8054	2.459	15.03	0.9886	6.577
CHM1	280	8828	364.2	672	0	33.6	0.825	2.455	15.36	1.007	6.557
CHM1	281	9033	372.5	689.1	0	34.45	0.8446	2.452	15.69	1.026	6.538
CHM1	282	9238	380.7	706.1	0	35.31	0.8643	2.448	16.02	1.044	6.519
CHM1	283	9444	389	723.2	0	36.16	0.8839	2.444	16.35	1.063	6.502
CHM1	284	9649	397.2	740.3	0	37.01	0.9036	2.441	16.68	1.081	6.485
CHM1	285	9854	405.5	757.4	0	37.87	0.9232	2.438	17.01	1.1	6.469
CHM1	286	10060	413.7	774.4	0	38.72	0.9429	2.435	17.33	1.119	6.453
CHM1	287	10260	422	791.5	0	39.57	0.9625	2.432	17.66	1.137	6.438
CHM1	288	10470	430.2	808.6	0	40.43	0.9821	2.429	17.99	1.156	6.423
CHM1	289	10670	438.5	825.6	0	41.28	1.002	2.427	18.32	1.174	6.409
CHM1	290	10880	446.7	842.7	0	42.14	1.021	2.424	18.65	1.193	6.396
CHM1	291	11120	456.2	863.3	0	43.16	1.045	2.42	19.02	1.218	6.404
CHM1	292	11360	465.7	883.8	0	44.19	1.068	2.416	19.38	1.243	6.412
CHM1	293	11590	475.1	904.4	0	45.22	1.091	2.413	19.75	1.268	6.419
CHM1	294	11830	484.6	925	0	46.25	1.114	2.409	20.12	1.293	6.426
CHM1	295	12070	494.1	945.5	0	47.28	1.137	2.406	20.49	1.318	6.433
CHM1	296	12310	503.6	966.1	0	48.3	1.161	2.403	20.85	1.343	6.44
CHM1	297	12550	513	986.7	0	49.33	1.184	2.4	21.22	1.368	6.446
CHM1	298	12790	522.5	1007	0	50.36	1.207	2.397	21.59	1.393	6.452
CHM1	299	13030	532	1028	0	51.39	1.23	2.394	21.95	1.418	6.458
CHM1	300	13260	541.5	1048	0	52.42	1.254	2.391	22.32	1.443	6.464
CHM1	301	13500	551	1069	0	53.45	1.277	2.389	22.69	1.468	6.47
CHM1	302	13740	560.4	1089	0	54.47	1.3	2.386	23.06	1.493	6.475
CHM1	303	13980	569.9	1110	0	55.5	1.323	2.384	23.42	1.518	6.48
CHM1	304	14220	579.4	1131	0	56.53	1.346	2.382	23.79	1.543	6.485
CHM1	305	14460	588.9	1151	0	57.56	1.37	2.38	24.16	1.568	6.49
CHM1	306	14700	598.3	1172	0	58.59	1.393	2.377	24.52	1.593	6.495
CHM1	307	14930	607.8	1192	0	59.62	1.416	2.375	24.89	1.618	6.5
CHM1	308	15170	617.3	1213	0	60.64	1.439	2.373	25.26	1.643	6.504
CHM1	309	15410	626.8	1233	0	61.67	1.462	2.371	25.63	1.668	6.509
CHM1	310	15650	636.2	1254	0	62.7	1.486	2.37	25.99	1.693	6.513
CHM1	311	15890	645.7	1277	0	63.84	1.524	2.388	26.42	1.737	6.576
CHM1	312	16140	655.2	1300	0	64.98	1.563	2.405	26.85	1.782	6.638
CHM1	313	16380	664.6	1322	0	66.12	1.601	2.422	27.28	1.827	6.697
CHM1	314	16630	674.1	1345	0	67.26	1.64	2.438	27.7	1.871	6.755
CHM1	315	16870	683.5	1368	0	68.4	1.679	2.454	28.13	1.916	6.811
CHM1	316	17110	693	1391	0	69.54	1.717	2.469	28.56	1.961	6.865
CHM1	317	17360	702.5	1414	0	70.68	1.756	2.484	28.99	2.005	6.918
CHM1	318	17600	711.9	1436	0	71.82	1.794	2.498	29.42	2.05	6.969
CHM1	319	17850	721.4	1459	0	72.96	1.833	2.512	29.84	2.095	7.019
CHM1	320	18090	730.8	1482	0	74.1	1.871	2.526	30.27	2.139	7.067
CHM1	321	18340	740.3	1505	0	75.24	1.91	2.539	30.7	2.184	7.114
CHM1	322	18580	749.8	1528	0	76.38	1.949	2.551	31.13	2.229	7.16
CHM1	323	18820	759.2	1550	0	77.52	1.987	2.564	31.55	2.273	7.204
CHM1	324	19070	768.7	1573	0	78.65	2.026	2.575	31.98	2.318	7.247
CHM1	325	19310	778.1	1596	0	79.79	2.064	2.587	32.41	2.362	7.289
CHM1	326	19560	787.6	1619	0	80.93	2.103	2.598	32.84	2.407	7.33
CHM1	327	19800	797	1641	0	82.07	2.141	2.609	33.27	2.452	7.37
CHM1	328	20050	806.5	1664	0	83.21	2.18	2.62	33.69	2.496	7.409
CHM1	329	20290	816	1687	0	84.35	2.219	2.63	34.12	2.541	7.447
CHM1	330	20530	825.4	1710	0	85.49	2.257	2.64	34.55	2.586	7.484
CHM1	331	20800	835.9	1735	0	86.74	2.307	2.66	35.02	2.645	7.553
CHM1	332	21070	846.4	1760	0	87.99	2.357	2.679	35.5	2.705	7.62
CHM1	333	21340	856.9	1785	0	89.24	2.407	2.697	35.97	2.765	7.685
CHM1	334	21610	867.4	1810	0	90.48	2.457	2.716	36.45	2.824	7.749
CHM1	335	21880	877.8	1835	0	91.73	2.507	2.733	36.92	2.884	7.811
CHM1	336	22150	888.3	1860	0	92.98	2.557	2.75	37.4	2.944	7.871
CHM1	337	22420	898.8	1885	0	94.23	2.607	2.767	37.87	3.003	7.93
CHM1	338	22690	909.3	1910	0	95.48	2.657	2.783	38.34	3.063	7.988
CHM1	339	22960	919.8	1934	0	96.72	2.707	2.799	38.82	3.122	8.044
CHM1	340	23230	930.3	1959	0	97.97	2.757	2.814	39.29	3.182	8.099
CHM1	341	23500	940.7	1984	0	99.22	2.807	2.829	39.77	3.242	8.152
CHM1	342	23770	951.2	2009	0	100.5	2.857	2.844	40.24	3.301	8.204
CHM1	343	24040	961.7	2034	0	101.7	2.907	2.858	40.72	3.361	8.255
CHM1	344	24310	972.2	2059	0	103	2.957	2.872	41.19	3.421	8.305
CHM1	345	24580	982.7	2084	0	104.2	3.007	2.886	41.66	3.48	8.353
CHM1	346	24850	993.1	2109	0	105.5	3.057	2.899	42.14	3.54	8.401
CHM1	347	25120	1004	2134	0	106.7	3.107	2.912	42.61	3.6	8.447
CHM1	348	25390	1014	2159	0	108	3.157	2.925	43.09	3.659	8.493
CHM1	349	25660	1025	2184	0	109.2	3.207	2.937	43.56	3.719	8.537
CHM1	350	25930	1035	2209	0	110.4	3.257	2.949	44.04	3.779	8.581
CHM1	351	26210	1046	2235	0	111.7	3.331	2.981	44.54	3.863	8.673
CHM1	352	26490	1057	2261	0	113	3.404	3.011	45.05	3.948	8.763
CHM1	353	26770	1068	2287	0	114.3	3.478	3.041	45.56	4.032	8.85
CHM1	354	27050	1079	2313	0	115.6	3.551	3.071	46.07	4.117	8.936
CHM1	355	27340	1090	2339	0	116.9	3.625	3.1	46.58	4.202	9.021
CHM1	356	27620	1101	2365	0	118.2	3.699	3.128	47.09	4.286	9.103
CHM1	357	27900	1111	2391	0	119.5	3.772	3.155	47.6	4.371	9.183
CHM1	358	28180	1122	2417	0	120.8	3.846	3.182	48.11	4.456	9.262
CHM1	359	28460	1133	2443	0	122.1	3.919	3.209	48.62	4.54	9.339
CHM1	360	28740	1144	2469	0	123.4	3.993	3.235	49.12	4.625	9.415
CHM1	361	29020	1155	2495	0	124.7	4.066	3.26	49.63	4.71	9.489
CHM1	362	29310	1166	2521	0	126	4.14	3.285	50.14	4.794	9.561
CHM1	363	29590	1177	2547	0	127.3	4.214	3.309	50.65	4.879	9.632
CHM1	364	29870	1188	2573	0	128.6	4.287	3.333	51.16	4.964	9.702
CHM1	365	30150	1199	2599	0	129.9	4.361	3.356	51.67	5.048	9.77
CHM1	366	30430	1210	2625	0	131.2	4.434	3.379	52.18	5.133	9.837
CHM1	367	30710	1220	2651	0	132.5	4.508	3.401	52.69	5.217	9.903
CHM1	368	30990	1231	2677	0	133.8	4.581	3.423	53.2	5.302	9.967
CHM1	369	31280	1242	2703	0	135.1	4.655	3.445	53.71	5.387	10.03
CHM1	370	31560	1253	2729	0	136.4	4.729	3.466	54.21	5.471	10.09
CHM1	371	31700	1258	2745	0	137.3	4.797	3.495	54.43	5.545	10.19
CHM1	372	31850	1264	2761	0	138.1	4.865	3.524	54.65	5.618	10.28
CHM1	373	31990	1269	2778	0	138.9	4.933	3.552	54.87	5.691	10.37
CHM1	374	32140	1274	2794	0	139.7	5.001	3.58	55.09	5.764	10.46
CHM1	375	32290	1279	2810	0	140.5	5.07	3.608	55.3	5.838	10.56
CHM1	376	32430	1284	2826	0	141.3	5.138	3.636	55.52	5.911	10.65
CHM1	377	32580	1290	2843	0	142.1	5.206	3.663	55.74	5.984	10.74
CHM1	378	32720	1295	2859	0	143	5.274	3.69	55.96	6.057	10.82
CHM1	379	32870	1300	2875	0	143.8	5.342	3.716	56.17	6.13	10.91
CHM1	380	33010	1305	2892	0	144.6	5.411	3.742	56.39	6.204	11
CHM1	381	33160	1310	2908	0	145.4	5.479	3.768	56.61	6.277	11.09
CHM1	382	33310	1316	2924	0	146.2	5.547	3.794	56.83	6.35	11.17
CHM1	383	33450	1321	2940	0	147	5.615	3.819	57.05	6.423	11.26
CHM1	384	33600	1326	2957	0	147.8	5.684	3.845	57.26	6.496	11.34
CHM1	385	33740	1331	2973	0	148.7	5.752	3.869	57.48	6.57	11.43
CHM1	386	33890	1336	2989	0	149.5	5.82	3.894	57.7	6.643	11.51
CHM1	387	34030	1342	3006	0	150.3	5.888	3.918	57.92	6.716	11.6
CHM1	388	34180	1347	3022	0	151.1	5.956	3.942	58.14	6.789	11.68
CHM1	389	34330	1352	3038	0	151.9	6.025	3.966	58.35	6.863	11.76
CHM1	390	34470	1357	3054	0	152.7	6.093	3.99	58.57	6.936	11.84
CHM1	391	34570	1361	3067	0	153.4	6.164	4.02	58.84	7.022	11.93
CHM1	392	34680	1364	3080	0	154	6.236	4.05	59.11	7.109	12.03
CHM1	393	34780	1368	3092	0	154.6	6.307	4.079	59.38	7.195	12.12
CHM1	394	34880	1371	3105	0	155.2	6.379	4.109	59.65	7.281	12.21
CHM1	395	34990	1375	3117	0	155.9	6.45	4.138	59.92	7.368	12.3
CHM1	396	35090	1378	3130	0	156.5	6.521	4.167	60.19	7.454	12.39
CHM1	397	35190	1382	3142	0	157.1	6.593	4.196	60.46	7.541	12.47
CHM1	398	35300	1385	3155	0	157.8	6.664	4.225	60.73	7.627	12.56
CHM1	399	35400	1389	3168	0	158.4	6.736	4.253	60.99	7.714	12.65
CHM1	400	35500	1392	3180	0	159	6.807	4.281	61.26	7.8	12.73
CHM1	401	35600	1396	3193	0	159.6	6.879	4.309	61.53	7.886	12.82
CHM1	402	35710	1399	3205	0	160.3	6.95	4.337	61.8	7.973	12.9
CHM1	403	35810	1403	3218	0	160.9	7.021	4.364	62.07	8.059	12.98
CHM1	404	35910	1406	3230	0	161.5	7.093	4.391	62.34	8.146	13.07
CHM1	405	36020	1410	3243	0	162.2	7.164	4.418	62.61	8.232	13.15
CHM1	406	36120	1413	3256	0	162.8	7.236	4.445	62.88	8.319	13.23
CHM1	407	36220	1417	3268	0	163.4	7.307	4.472	63.15	8.405	13.31
CHM1	408	36330	1420	3281	0	164	7.379	4.498	63.42	8.491	13.39
CHM1	409	36430	1424	3293	0	164.7	7.45	4.524	63.69	8.578	13.47
CHM1	410	36530	1427	3306	0	165.3	7.521	4.55	63.96	8.664	13.55
CHM1	411	36630	1431	3317	0	165.9	7.616	4.592	64.26	8.783	13.67
CHM1	412	36730	1434	3328	0	166.4	7.71	4.633	64.56	8.901	13.79
CHM1	413	36840	1438	3339	0	167	7.804	4.674	64.87	9.019	13.9
CHM1	414	36940	1441	3351	0	167.5	7.899	4.715	65.17	9.137	14.02
CHM1	415	37040	1445	3362	0	168.1	7.993	4.755	65.47	9.255	14.14
CHM1	416	37140	1449	3373	0	168.7	8.087	4.795	65.77	9.374	14.25
CHM1	417	37240	1452	3384	0	169.2	8.181	4.835	66.08	9.492	14.36
CHM1	418	37340	1456	3395	0	169.8	8.276	4.875	66.38	9.61	14.48
CHM1	419	37440	1459	3407	0	170.3	8.37	4.914	66.68	9.728	14.59
CHM1	420	37540	1463	3418	0	170.9	8.464	4.953	66.99	9.846	14.7
CHM1	421	37640	1466	3429	0	171.4	8.559	4.992	67.29	9.965	14.81
CHM1	422	37750	1470	3440	0	172	8.653	5.03	67.59	10.08	14.92
CHM1	423	37850	1473	3451	0	172.6	8.747	5.069	67.89	10.2	15.02
CHM1	424	37950	1477	3463	0	173.1	8.841	5.107	68.2	10.32	15.13
CHM1	425	38050	1481	3474	0	173.7	8.936	5.145	68.5	10.44	15.24
CHM1	426	38150	1484	3485	0	174.2	9.03	5.182	68.8	10.56	15.34
CHM1	427	38250	1488	3496	0	174.8	9.124	5.22	69.11	10.67	15.45
CHM1	428	38350	1491	3507	0	175.4	9.219	5.257	69.41	10.79	15.55
CHM1	429	38450	1495	3519	0	175.9	9.313	5.294	69.71	10.91	15.65
CHM1	430	38550	1498	3530	0	176.5	9.407	5.33	70.01	11.03	15.75
CHM1	431	38640	1501	3539	0	176.9	9.499	5.369	70.27	11.14	15.86
CHM1	432	38720	1504	3548	0	177.4	9.591	5.407	70.52	11.26	15.96
CHM1	433	38800	1507	3557	0	177.8	9.683	5.444	70.77	11.37	16.06
CHM1	434	38880	1510	3566	0	178.3	9.774	5.482	71.02	11.48	16.17
CHM1	435	38970	1513	3575	0	178.7	9.866	5.52	71.27	11.59	16.27
CHM1	436	39050	1516	3584	0	179.2	9.958	5.557	71.52	11.71	16.37
CHM1	437	39130	1519	3593	0	179.7	10.05	5.594	71.77	11.82	16.47
CHM1	438	39210	1521	3602	0	180.1	10.14	5.631	72.03	11.93	16.57
CHM1	439	39300	1524	3611	0	180.6	10.23	5.668	72.28	12.05	16.67
CHM1	440	39380	1527	3620	0	181	10.33	5.704	72.53	12.16	16.77
CHM1	441	39460	1530	3629	0	181.5	10.42	5.741	72.78	12.27	16.86
CHM1	442	39540	1533	3638	0	181.9	10.51	5.777	73.03	12.39	16.96
CHM1	443	39620	1536	3647	0	182.4	10.6	5.813	73.28	12.5	17.06
CHM1	444	39710	1539	3656	0	182.8	10.69	5.849	73.53	12.61	17.15
CHM1	445	39790	1542	3665	0	183.3	10.78	5.884	73.79	12.73	17.25
CHM1	446	39870	1544	3674	0	183.7	10.88	5.92	74.04	12.84	17.34
CHM1	447	39950	1547	3683	0	184.2	10.97	5.955	74.29	12.95	17.44
CHM1	448	40040	1550	3692	0	184.6	11.06	5.99	74.54	13.07	17.53
CHM1	449	40120	1553	3702	0	185.1	11.15	6.025	74.79	13.18	17.62
CHM1	450	40200	1556	3711	0	185.5	11.24	6.06	75.04	13.29	17.71
CHM1	451	40270	1558	3717	0	185.9	11.31	6.087	75.24	13.37	17.78
